#                                                                   --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
#target name        accession  query name               accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------     -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
PF13489_seed         -          sp|A0A0H3PEK7|TLYA_CAMJJ -            4.3e-08   19.3   0.0   7.5e-08   18.5   0.0   1.4   1   0   0   1   1   1   1 -
PF13489_seed         -          sp|A2AUU0|METL8_MOUSE -            6.4e-07   15.5   0.0   1.3e-06   14.5   0.0   1.5   1   0   0   1   1   1   1 -
PF13489_seed         -          sp|A3KPF2|ANM14_ARATH -            6.4e-07   15.5   0.0   1.1e-06   14.7   0.0   1.5   1   0   0   1   1   1   1 -
PF13489_seed         -          sp|A8MUP2|CSKMT_HUMAN -            1.6e-09   23.9   0.0   2.3e-09   23.4   0.0   1.4   1   1   0   1   1   1   1 -
PF13489_seed         -          sp|B0EXJ8|HTOMT_CATRO -            3.1e-07   16.5   0.0   6.5e-07   15.5   0.0   1.6   1   1   0   1   1   1   1 -
PF13489_seed         -          sp|B0ZB55|OMT1_HUMLU -            4.1e-07   16.1   0.0   6.8e-07   15.4   0.0   1.3   1   0   0   1   1   1   1 -
PF13489_seed         -          sp|B3DLB3|ANM2_XENTR -            1.5e-08   20.8   0.1   9.5e-08   18.2   0.0   2.2   3   0   0   3   3   3   1 -
PF13489_seed         -          sp|B3GSH5|ASMT_RAT   -            1.5e-10   27.3   0.0   2.3e-10   26.7   0.0   1.2   1   0   0   1   1   1   1 -
PF13489_seed         -          sp|C8VQG9|LAEA_EMENI -            6.3e-20   57.8   0.0   1.1e-19   57.0   0.0   1.4   1   0   0   1   1   1   1 -
PF13489_seed         -          sp|D1FVF0|BSLS_BEABA -            2.9e-08   19.8   0.0   1.1e-07   18.0   0.0   2.0   1   0   0   1   1   1   1 -
PF13489_seed         -          sp|D3KU66|ASMT_MOUSE -            1.4e-09   24.1   0.0   2.1e-09   23.5   0.0   1.2   1   0   0   1   1   1   1 -
PF13489_seed         -          sp|D3YWP0|EFMT3_MOUSE -            4.9e-09   22.4   0.0   6.1e-09   22.1   0.0   1.1   1   0   0   1   1   1   1 -
PF13489_seed         -          sp|D9IVE5|ANM2_XENLA -            7.9e-09   21.7   0.3   1.7e-07   17.4   0.1   2.7   2   1   0   2   2   2   1 -
PF13489_seed         -          sp|F4JNX3|CMKMT_ARATH -            7.5e-10   25.0   0.0   1.3e-09   24.2   0.0   1.4   1   0   0   1   1   1   1 -
PF13489_seed         -          sp|I3PLQ6|SOMT2_PAPSO -            8.1e-09   21.7   0.0   1.2e-08   21.1   0.0   1.2   1   0   0   1   1   1   1 -
PF13489_seed         -          sp|J7I4B7|WBDD_ECOLX -            7.6e-12   31.5   0.0   1.9e-11   30.2   0.0   1.6   1   0   0   1   1   1   1 -
PF13489_seed         -          sp|O13648|ANM3_SCHPO -            5.6e-10   25.4   0.0   1.5e-09   24.0   0.0   1.7   2   0   0   2   2   2   1 -
PF13489_seed         -          sp|O22268|DIM1A_ARATH -            4.2e-08   19.3   0.0     7e-08   18.6   0.0   1.5   1   1   0   1   1   1   1 -
PF13489_seed         -          sp|O32036|TRMR_BACSU -            2.2e-06   13.8   0.0   3.2e-06   13.2   0.0   1.4   1   1   0   1   1   1   1 -
PF13489_seed         -          sp|O43148|MCES_HUMAN -            1.2e-11   30.9   0.0   2.4e-11   29.9   0.0   1.4   1   0   0   1   1   1   1 -
PF13489_seed         -          sp|O43709|BUD23_HUMAN -            1.5e-09   24.1   0.0     2e-09   23.7   0.0   1.2   1   0   0   1   1   1   1 -
PF13489_seed         -          sp|O49354|COQ3_ARATH -            1.4e-22   66.4   0.0     2e-22   65.9   0.0   1.2   1   0   0   1   1   1   1 -
PF13489_seed         -          sp|O55060|TPMT_MOUSE -            1.1e-06   14.7   0.0     2e-06   13.9   0.0   1.4   1   0   0   1   1   1   1 -
PF13489_seed         -          sp|O55239|NNMT_MOUSE -            5.4e-06   12.5   0.0   8.8e-06   11.8   0.0   1.6   1   1   0   1   1   1   1 -
PF13489_seed         -          sp|O60678|ANM3_HUMAN -            2.2e-10   26.8   0.0   4.3e-10   25.8   0.0   1.5   1   0   0   1   1   1   1 -
