#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
B0CN31               -          rcsb_pdb_4U1Q        -            4.2e-95  316.5   0.0   5.1e-95  316.2   0.0   1.0   1   0   0   1   1   1   1 -
Q8KGE0               -          rcsb_pdb_4U1Q        -            6.4e-21   72.5   0.0     1e-20   71.8   0.0   1.2   1   0   0   1   1   1   1 -
A6VTA1               -          rcsb_pdb_4U1Q        -            0.00017   18.4   0.0   0.00021   18.1   0.0   1.1   1   0   0   1   1   1   1 -
A6VTA1               -          rcsb_pdb_4U1Q        -            0.00017   18.4   0.0   0.00021   18.1   0.0   1.1   1   0   0   1   1   1   1 -
Q73HZ4               -          rcsb_pdb_4U1Q        -            0.00027   17.8   0.0   0.00035   17.4   0.0   1.1   1   0   0   1   1   1   1 -
Q73HZ4               -          rcsb_pdb_4U1Q        -            0.00027   17.8   0.0   0.00035   17.4   0.0   1.1   1   0   0   1   1   1   1 -
C0R2Q3               -          rcsb_pdb_4U1Q        -            0.00029   17.7   0.0   0.00039   17.3   0.0   1.2   1   0   0   1   1   1   1 -
C0R2Q3               -          rcsb_pdb_4U1Q        -            0.00029   17.7   0.0   0.00039   17.3   0.0   1.2   1   0   0   1   1   1   1 -
Q3KJC5               -          rcsb_pdb_4U1Q        -            0.00041   17.2   0.0   0.00052   16.8   0.0   1.1   1   0   0   1   1   1   1 -
Q3KJC5               -          rcsb_pdb_4U1Q        -            0.00041   17.2   0.0   0.00052   16.8   0.0   1.1   1   0   0   1   1   1   1 -
A8ACY2               -          rcsb_pdb_4U1Q        -            0.00074   16.3   0.0   0.00092   16.0   0.0   1.1   1   0   0   1   1   1   1 -
A8ACY2               -          rcsb_pdb_4U1Q        -            0.00074   16.3   0.0   0.00092   16.0   0.0   1.1   1   0   0   1   1   1   1 -
