Q1RH40	Q1RH40
Q1RH40	Q9ZCB3
Q1RH40	Q4UJU4
Q1RH40	Q68VR6
Q1RH40	Q92G13
Q9KJ20	Q9KJ20
Q8TJK1	Q8TJK1
Q8TJK1	A0A0D3MJQ5
Q8TJK1	Q6N3Y0
Q8KZ94	Q8KZ94
Q8KZ94	G0FUS0
Q8KZ94	A0A0A2IBN3
Q8KZ94	A9AWD7
Q8KZ94	A4F7P5
B9LFP4	B9LFP4
B9LFP4	A9WD89
B9LFP4	A5G9G5
B9LFP4	A4J7F1
B9LFP4	C6DY35
B9LFP4	B5E9X4
B9LFP4	Q74G05
B9LFP4	Q39Q76
B9LFP4	Q0AWM5
B9LFP4	A9B5V4
B9LFP4	Q1DD74
B9LFP4	B1XT48
B9LFP4	Q1LIT8
B9LFP4	A3NDQ7
B9LFP4	Q3JNI0
B9LFP4	A1V0M1
B9LFP4	A2S5P8
B9LFP4	A3MRB1
B9LFP4	Q62GX2
B9LFP4	Q63QN9
B9LFP4	Q2SZE1
B9LFP4	A4JBD7
B9LFP4	A0K4C9
B9LFP4	Q1BZC1
B9LFP4	B4E5V2
B9LFP4	Q39JS9
B9LFP4	Q13U36
B9LFP4	B1JVC0
B9LFP4	A9AI41
B9LFP4	B2SYT3
B9LFP4	B1YSW5
B9LFP4	Q0BIF9
B9LFP4	B2UCS1
B9LFP4	B2JH19
B9LFP4	Q8XVP2
B9LFP4	B3R6K3
B9LFP4	Q46XA5
B9LFP4	Q0K6X3
B9LFP4	Q12EI9
B9LFP4	A9KKT8
B9LFP4	A5GV37
B9LFP4	Q7NIP7
B9LFP4	B8HPZ1
B9LFP4	Q8DM00
B9LFP4	Q5MZ45
B9LFP4	Q31N39
B9LFP4	Q3AF06
B9LFP4	Q2RKY6
B9LFP4	B0TAD9
B9LFP4	B5YDR3
B9LFP4	A4XKA6
B9LFP4	B9MJY9
B9LFP4	B0K3X8
B9LFP4	Q8RB66
B9LFP4	B0KA79
B9LFP4	A5N6M4
B9LFP4	P45558
B9LFP4	B9E043
B9LFP4	A3DF23
B9LFP4	B9LZ49
B9LFP4	A1AT86
B9LFP4	Q39ZZ2
B9LFP4	B3E5Z5
B9LFP4	Q8R6G7
B9LFP4	Q4L6S8
B9LFP4	Q49Y20
